Model,RMSE,MAE,R2,Time
Ridge Regression,1.7981582717883662,0.4444804435555183,0.7712517444417516,0.0022628307342529297
Linear Regression,1.7983045950455852,0.44444443226777514,0.7712145146247736,0.003969907760620117
Lasso Regression,1.8407673429763747,0.5962830508218923,0.7602824875905443,0.007645368576049805
Gradient Boosting,1.8947947018836304,0.7217313661489655,0.746004347050219,0.6033847332000732
Random Forest,2.1141495967404675,1.0121860816944022,0.683791609422741,0.2567126750946045
Decision Tree,3.5461086468905876,1.6369137670196672,0.11037693230633217,0.03180813789367676
